RSV-6368, FIT, HONDA, 160826, PRETO, 840443039-94
GAG-2420, PRISMA, CHEVROLET, 110966, PRATA, 831394128-21
SMT-5366, HR-V, HONDA, 108006, BRANCO, 768763129-19
UOD-4379, COROLLA, TOYOTA, 155709, MARROM, 905661406-37
UNU-2963, CLASSIC, CHEVROLET, 217616, CINZA, 630401412-48
DHL-9375, MOBI, FIAT, 40937, VERDE, 909764851-70
YHQ-7377, PRISMA, CHEVROLET, 39343, VERMELHO, 709019980-45
YGC-1395, PRISMA, CHEVROLET, 247711, VERDE, 918062698-70
JOY-8056, JETA, VOLKSWAGEN, 76377, PRATA, 920868226-67
TOU-6169, VECTRA, CHEVROLET, 96690, VERMELHO, 705270096-86
YFQ-2295, ETIOS, TOYOTA, 122215, BRANCO, 892379669-83
LUP-7714, KICKS, NISSAN, 235698, AZUL, 940532236-10
NER-5775, MARCH, NISSAN, 219620, PRATA, 725199257-28
ORK-2733, JETA, VOLKSWAGEN, 95224, VERDE, 775521998-04
LJO-4309, FOCUS, FORD, 203985, PRETO, 768763129-19
WVK-3535, CAPTUR, RENAULT, 101061, VERMELHO, 705270096-86
AIL-1577, TUCSON, HYUNDAI, 68383, MARROM, 846605003-52
JSZ-9090, HILUX, TOYOTA, 54987, PRATA, 744394795-02
UTI-6743, RENEGADE, JEEP, 110390, PRETO, 920868226-67
TDP-8816, A3, AUDI, 145565, VERMELHO, 909028364-64
EUO-2900, FOX, VOLKSWAGEN, 107715, CINZA, 940532236-10
FKM-4301, KICKS, NISSAN, 216863, PRATA, 891214787-48
IJT-4832, IDEA, FIAT, 235628, VERDE, 950942727-73
VZD-2940, TORO, FIAT, 152219, BRANCO, 744394795-02
BRI-6128, CLASSIC, CHEVROLET, 232218, PRETO, 775521998-04
UKW-4928, C3, CITROËN, 50002, AZUL, 630401412-48
ZLU-2009, CAPTIVA, CHEVROLET, 89056, BRANCO, 775521998-04
ZQS-5404, SAVEIRO, VOLKSWAGEN, 199657, VERDE, 876356656-48
PSG-7357, SIENA, FIAT, 157644, CINZA, 905661406-37
XPC-1372, CAPTIVA, CHEVROLET, 125315, BRANCO, 909764851-70
YEU-8005, HILUX, TOYOTA, 186685, PRATA, 905661406-37
ZTQ-7149, KA, FORD, 178092, CINZA, 909028364-64
VQK-8802, CLIO, RENAULT, 135126, CINZA, 918062698-70
GTE-7288, CIVIC, HONDA, 247700, PRETO, 918062698-70
JSO-8338, LOGAN, RENAULT, 87529, BRANCO, 891214787-48
ORY-7309, CORSA, CHEVROLET, 34976, VERMELHO, 725199257-28
LYW-3622, FIT, HONDA, 46845, PRETO, 846605003-52
YFW-7248, SPACEFOX, VOLKSWAGEN, 200451, VERDE, 705270096-86
HGQ-2302, 207, PEUGEOT, 170590, VERDE, 670553069-95
RPP-2653, MARCH, NISSAN, 41481, MARROM, 909028364-64
WKV-4235, KICKS, NISSAN, 159364, MARROM, 909028364-64
HXT-9072, ETIOS SEDAN, TOYOTA, 114088, VERDE, 940532236-10
RFW-8124, STRADA, FIAT, 154143, MARROM, 950942727-73
CDL-3014, SAVEIRO, VOLKSWAGEN, 159161, CINZA, 775521998-04
IGM-8645, CLIO, RENAULT, 37122, MARROM, 876356656-48
UAW-2564, A3, AUDI, 76350, BRANCO, 950942727-73
FYN-5559, SAVEIRO, VOLKSWAGEN, 252614, MARROM, 670553069-95
ECG-6138, ETIOS, TOYOTA, 166815, CINZA, 909028364-64
CHF-8971, PRISMA, CHEVROLET, 173208, VERDE, 950942727-73
ALW-8085, STRADA, FIAT, 29443, MARROM, 768763129-19
RUT-1566, SAVEIRO, VOLKSWAGEN, 229845, VERDE, 948817225-52
CIH-6179, PALIO, FIAT, 34116, PRETO, 918062698-70
TMC-6527, VECTRA, CHEVROLET, 255946, MARROM, 705270096-86
MWP-5067, FIESTA, FORD, 213850, VERMELHO, 620727237-35
TZU-4693, FOX, VOLKSWAGEN, 102211, BRANCO, 920868226-67
NWP-7285, LOGAN, RENAULT, 217780, VERMELHO, 725199257-28
KPN-4002, FOX, VOLKSWAGEN, 250245, VERDE, 831394128-21
FBN-3352, CLASSIC, CHEVROLET, 165992, BRANCO, 705270096-86
SQU-8934, LOGAN, RENAULT, 104118, MARROM, 967201424-34
AIS-5180, ECOSPORT, FORD, 87912, PRATA, 950942727-73
FEI-6567, CLASSIC, CHEVROLET, 69418, AZUL, 909764851-70
AZG-7813, VOYAGE, VOLKSWAGEN, 157689, PRETO, 892379669-83
RVN-6038, TORO, FIAT, 154818, MARROM, 971359296-92
CWX-7389, CITY, HONDA, 136099, CINZA, 876356656-48
HRI-1764, KA, FORD, 156506, PRATA, 709019980-45
LZW-5288, PUNTO, FIAT, 204137, BRANCO, 918062698-70
JHG-3886, HILUX, TOYOTA, 133148, VERDE, 702051221-38
DCF-6035, PALIO, FIAT, 29836, MARROM, 920868226-67
TJK-8500, CLASSIC, CHEVROLET, 184225, PRATA, 948817225-52
TFF-9824, KWID, RENAULT, 33812, PRETO, 630401412-48
ZWU-8979, UNO, FIAT, 163058, VERMELHO, 709019980-45
NMQ-8799, ONIX, CHEVROLET, 179701, CINZA, 967201424-34
OQJ-8558, ONIX, CHEVROLET, 167868, BRANCO, 620727237-35
